iter	MultiClass
0	1.016923477
1	0.9389085272
2	0.8759996719
3	0.8237681305
4	0.7742578596
5	0.7291522327
6	0.6911526394
7	0.6567077888
8	0.63054089
9	0.6019439257
10	0.5756408575
11	0.5536259356
12	0.5346132442
13	0.5166237002
14	0.498855395
15	0.4819405229
16	0.467606618
17	0.4552397286
18	0.4429372822
19	0.4327820816
20	0.4217833096
21	0.4120244874
22	0.4031801889
23	0.3948202078
24	0.3883231206
25	0.3817714719
26	0.3746524906
27	0.3692406117
28	0.3634394127
29	0.3577561899
30	0.3539495552
31	0.3494884451
32	0.3444114229
33	0.3403688608
34	0.3362461639
35	0.3329024402
36	0.329722365
37	0.3262949763
38	0.3234334311
39	0.3209629342
40	0.3186702624
41	0.3167156537
42	0.3142847373
43	0.3121185628
44	0.3105015953
45	0.308133625
46	0.3064940078
47	0.3037925971
48	0.3024625563
49	0.3010630311
50	0.2996096939
51	0.2987975082
52	0.2974664733
53	0.2963047939
54	0.2947263035
55	0.2937994399
56	0.2923267553
57	0.2910846639
58	0.2901500506
59	0.2888055774
60	0.2881288738
61	0.2868060766
62	0.2855874637
63	0.2846358915
64	0.2838814676
65	0.2833677281
66	0.2821797462
67	0.2813333192
68	0.2805610916
69	0.2798924639
70	0.279114913
71	0.2783734095
72	0.2771756024
73	0.2763580875
74	0.2753998807
75	0.2747364201
76	0.2738530426
77	0.2732206145
78	0.2730083665
79	0.2720763343
80	0.2715830901
81	0.2709310276
82	0.2699999627
83	0.2693349367
84	0.2686586467
85	0.2678638446
86	0.2673130061
87	0.2665780702
88	0.2659670657
89	0.2656075528
90	0.2651433494
91	0.2645312276
92	0.2640834687
93	0.2636230003
94	0.2630442229
95	0.2627652476
96	0.2619934726
97	0.2614040319
98	0.2607900398
99	0.260286929
100	0.2595138698
101	0.258581349
102	0.2580537977
103	0.2573925402
104	0.2567717596
105	0.2560601945
106	0.2555182208
107	0.2551627637
108	0.2541900299
109	0.2536070957
110	0.2528521319
111	0.2522308616
112	0.2519029193
113	0.2511787104
114	0.2505046003
115	0.2501090663
116	0.2496510758
117	0.2492772926
118	0.2488347655
119	0.2484547151
120	0.2479597278
121	0.2475744094
122	0.2471431042
123	0.2467231039
124	0.2460684883
125	0.2455503124
126	0.2449947218
127	0.2444179854
128	0.2436970424
129	0.2429915074
130	0.2424865449
131	0.2420356996
132	0.2418306347
133	0.2414095926
134	0.2408209847
135	0.240151754
136	0.2397128941
137	0.2390205029
138	0.2387590489
139	0.2385182697
140	0.2379720774
141	0.2375829048
142	0.237183823
143	0.236879674
144	0.2363933457
145	0.235731674
146	0.2352525741
147	0.2349239751
148	0.2346492405
149	0.2339569537
150	0.2334800848
151	0.2329378425
152	0.2326007433
153	0.2323616004
154	0.2321126391
155	0.2318225063
156	0.2315257896
157	0.2311221061
158	0.2306496927
159	0.2303448694
160	0.2299666718
161	0.229750425
162	0.2294808197
163	0.2290774933
164	0.2286662401
165	0.2284294582
166	0.2282372729
167	0.2280506583
168	0.2277266209
169	0.2274161274
170	0.227243376
171	0.2269083322
172	0.2266994131
173	0.226521677
174	0.2260433051
175	0.2256977828
176	0.2254123942
177	0.2250378727
178	0.2246054885
179	0.2242742408
180	0.2239890379
181	0.2237157211
182	0.2233661192
183	0.223128187
184	0.2228632937
185	0.2224652445
186	0.222166532
187	0.2217627393
188	0.2214965647
189	0.2211778587
190	0.2208554577
191	0.2205939753
192	0.2203368735
193	0.2201086556
194	0.2197621949
195	0.2192407401
196	0.2189491668
197	0.2185448768
198	0.2182378872
199	0.2179098091
200	0.2175099271
